benchmark_row_id,canonical_card_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_title,condition,image_url,item_url,review_reason,review_status
D2-0056,0dde3317-5162-49d1-b5c9-6b206a086d2c,Tinkatuff,Paldean Fates,166,shiny_rare,Tinkatuff 166/091 SV Paldean Fates Shiny Rare Reverse Holo English,Ungraded,https://i.ebayimg.com/images/g/TfYAAeSwmWZqJ3ht/s-l225.jpg,https://www.ebay.com/itm/137394251948?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item1ffd55e8ac:g:TfYAAeSwmWZqJ3ht,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0064,10a47631-ea19-4b62-8a93-4b1b3e6b3013,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,The Pokémon Company Lt. Surge's Bargain 185/132 MEGA Full Art Holo ENG,Ungraded,https://i.ebayimg.com/images/g/LscAAeSw6B9qPcxT/s-l225.jpg,https://www.ebay.com/itm/117269031991?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item1b4dc76c37:g:LscAAeSw6B9qPcxT&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGZ16YkC2nMJiNc0UvFmvZpsMqRw4OhlgRgvqecm%2BliAaAemU0I%2F9kwjVaozOflHyUv6D6Lmd5e4q1R31MG4FN5iIjDxV5PcjDs0nacvxE5SMNGTiuDw7a1aJl5rnsusWAlaYeuNWCdHvZ7ngcFkFMip2ZW9uvvR0d%2F%2BpPgTknE%2BhcHeOz5%2FYFEMNbaoRcNHlx62ah1AcFdGr30HjDMIXsYwaXP%2FvZ5o%2FYOOCUbqaiJhiuC6QHsaMXR34quDVcmWpsofMC5xlEjNXO2p25s%2FsWFfTqM3bt5qmGWQJ54SzKr8KyzgGyyrkcfP%2FdS7UV9cre66qoCVF9b08EF4IhlyxxAx,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0069,10a47631-ea19-4b62-8a93-4b1b3e6b3013,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,Pokémon TCG Lt. Surge’s Bargain Trainer 185/132 Mega Evolution Extended Art Case,Ungraded,https://i.ebayimg.com/images/g/LPcAAeSwakppEYTW/s-l225.jpg,https://www.ebay.com/itm/177563668909?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item29579e91ad:g:LPcAAeSwakppEYTW,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0080,147a436d-4ccc-43d1-b19a-20b74d2ff723,Carmine,Twilight Masquerade,217,special_illustration_rare,Pokemon TCG - Twilight Masquerade: Choose Your Card! - All Holos/Reverse Holos!,Ungraded,https://i.ebayimg.com/images/g/RgwAAeSwP45ogduC/s-l225.jpg,https://www.ebay.com/itm/156447979868?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&var=458683854023&hash=item246d06b95c:g:RgwAAeSwP45ogduC,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0082,147a436d-4ccc-43d1-b19a-20b74d2ff723,Carmine,Twilight Masquerade,217,special_illustration_rare,Pokemon TCG Carmin Twilight Masquerade SIR 217/167,Ungraded,https://i.ebayimg.com/images/g/YzMAAeSwW~dqoHCm/s-l225.jpg,https://www.ebay.com/itm/377482020715?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item57e3ae876b:g:YzMAAeSwW~dqoHCm,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0094,152906c9-3b9f-4f16-bb22-cb4241c7386b,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,Giovanni's Charisma 197/165 Sv: Scarlet & Violet 151 Holo,Ungraded,https://i.ebayimg.com/images/g/5vQAAeSwU7hqciw5/s-l225.jpg,https://www.ebay.com/itm/128010803033?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&hash=item1dce09d759:g:5vQAAeSwU7hqciw5,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0095,152906c9-3b9f-4f16-bb22-cb4241c7386b,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,Giovanni's Charisma 197/165 Sv: Scarlet & Violet 151 Holo,Ungraded,https://i.ebayimg.com/images/g/55sAAeSwXVhqn1Gh/s-l225.jpg,https://www.ebay.com/itm/128067870628?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&hash=item1dd1709fa4:g:55sAAeSwXVhqn1Gh,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0096,152906c9-3b9f-4f16-bb22-cb4241c7386b,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,Giovanni's Charisma 197/165 Scarlet & Violet 151 Holo Ultra Rare NM,Ungraded,https://i.ebayimg.com/images/g/WvQAAeSwlDZqaq73/s-l225.jpg,https://www.ebay.com/itm/137565616610?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&hash=item20078cb9e2:g:WvQAAeSwlDZqaq73,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0097,152906c9-3b9f-4f16-bb22-cb4241c7386b,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,Pokemon 151 Cards! Holo/Reverse Holo Ex Illustration Ultra Double Rare Card!,Ungraded,https://i.ebayimg.com/images/g/UzUAAOSwxHdoM6FP/s-l225.jpg,https://www.ebay.com/itm/156241664107?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&var=458401936684&hash=item2460ba986b:g:UzUAAOSwxHdoM6FP,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0098,152906c9-3b9f-4f16-bb22-cb4241c7386b,Giovanni's Charisma,Scarlet and Violet 151,204,special_illustration_rare,Giovanni's Charisma161/165PokemonSV: Scarlet & Violet 151MEWNMUncommonEN,Ungraded,https://i.ebayimg.com/images/g/YRMAAeSw7RNqhLN2/s-l225.jpg,https://www.ebay.com/itm/227481484694?_skw=Giovanni%27s+Charisma+204+Scarlet+and+Violet+151+Pokemon+card&hash=item34f6f3fd96:g:YRMAAeSw7RNqhLN2,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0124,209f02db-d953-4dde-bbd6-0822671fe1d1,Oshawott,White Flare,105,illustration_rare,White Flare Pokemon Cards! Holo/Reverse Holo Rare Illustration Full Art SIR Card,Ungraded,https://i.ebayimg.com/images/g/hmMAAeSwDdJoon0n/s-l225.jpg,https://www.ebay.com/itm/157217521409?_skw=Oshawott+105+White+Flare+Pokemon+card&var=458745866820&hash=item249ae4ff01:g:hmMAAeSwDdJoon0n,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0128,209f02db-d953-4dde-bbd6-0822671fe1d1,Oshawott,White Flare,105,illustration_rare,Oshawott 105/086 Pokemon Sv: White Flare Pokémon Extended Art Case,Ungraded,https://i.ebayimg.com/images/g/9-cAAeSwrQppKx9h/s-l225.jpg,https://www.ebay.com/itm/157414069421?_skw=Oshawott+105+White+Flare+Pokemon+card&hash=item24a69c14ad:g:9-cAAeSwrQppKx9h,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0139,21e9ddc5-2751-4886-9e08-a1c6e2cc14e4,Kyurem ex,Black Bolt,165,special_illustration_rare,Pokemon TCG Kyurem EX Full Art Holo Ultra Rare 230 HP 165/086 Plasma Storm 2013,Ungraded,https://i.ebayimg.com/images/g/qvYAAeSwFLNqh-TJ/s-l225.jpg,https://www.ebay.com/itm/336753799143?_skw=Kyurem+ex+165+Black+Bolt+Pokemon+card&hash=item4e68172fe7:g:qvYAAeSwFLNqh-TJ,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0141,21e9ddc5-2751-4886-9e08-a1c6e2cc14e4,Kyurem ex,Black Bolt,165,special_illustration_rare,Black Bolt Pokemon Cards! Holo/Reverse Holo Rare Illustration Full Art SIR Card!,Ungraded,https://i.ebayimg.com/images/g/2cEAAeSwvwVojZHi/s-l225.jpg,https://www.ebay.com/itm/157214137167?_skw=Kyurem+ex+165+Black+Bolt+Pokemon+card&var=458705598692&hash=item249ab15b4f:g:2cEAAeSwvwVojZHi,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0154,23d6bd35-bbf0-49b2-911e-4949e66ff8bb,Pachirisu,Paldean Fates,138,shiny_rare,Pachirisu 138/091 Holo NM,Ungraded,https://i.ebayimg.com/images/g/MBwAAeSwpPFqoIDv/s-l225.jpg,https://www.ebay.com/itm/206514827799?_skw=Pachirisu+138+Paldean+Fates+Pokemon+card&hash=item30153e3217:g:MBwAAeSwpPFqoIDv&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGZpJlxPH9oq%2F3hSbZ%2B8E%2BmUY%2FcdEYoD9M%2FGZfo5VVhmmH4ZJO982gP0rdX2CcsGFJUmiWz73GYitvflPV4kTze8WI2y%2FqWIw9AapmVuemXGz9WuBOsTMctOQ%2FAzP584WDyOQobjN0US1X4RrZoW5YSc%2FYKOYNyXGW0ZV9TIVIxRicdSAsI5E6UCmJ0AvI7XRndSDF4vsXhzQQw7PR%2B%2BwGMTgUuwQtiWMMrc2JTRaUBl96KgfE%2BwrFnO0gzTOWtpm488yEnDEb2LFQW%2BAdeXkhIZJfsVerz9VDSjQnH4Nam7gzpnlzUgkRzhCMViD2S4DMuKrDB%2BccRJHaZ8ETSj1QiC,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0158,23d6bd35-bbf0-49b2-911e-4949e66ff8bb,Pachirisu,Paldean Fates,138,shiny_rare,Pokemon SV Paldean Fates Shiny Choose Your Card! Ultra Rare ex Near Mint NM,Ungraded,https://i.ebayimg.com/images/g/ZV0AAeSwybxo8z8K/s-l225.jpg,https://www.ebay.com/itm/306424277790?_skw=Pachirisu+138+Paldean+Fates+Pokemon+card&hash=item47584f6b1e:g:ZV0AAeSwybxo8z8K,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0159,23d6bd35-bbf0-49b2-911e-4949e66ff8bb,Pachirisu,Paldean Fates,138,shiny_rare,Pachirisu 138 Pokemon Paf En-Paldean Fates PSA 9,Graded,https://i.ebayimg.com/images/g/7vUAAeSwgW9qlmtR/s-l225.jpg,https://www.ebay.com/itm/227500260100?_skw=Pachirisu+138+Paldean+Fates+Pokemon+card&hash=item34f8127b04:g:7vUAAeSwgW9qlmtR,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0169,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,Emboar 013/086 Holo Rare White Flare Pokemon Reverse Holo,Ungraded,https://i.ebayimg.com/images/g/lrkAAeSwC9tqTyMA/s-l225.jpg,https://www.ebay.com/itm/117292686431?_skw=Emboar+98+White+Flare+Pokemon+card&hash=item1b4f305c5f:g:lrkAAeSwC9tqTyMA,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0170,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,White Flare Pokemon Cards! Holo/Reverse Holo Rare Illustration Full Art SIR Card,Ungraded,https://i.ebayimg.com/images/g/fhQAAeSwoGlojcnh/s-l225.jpg,https://www.ebay.com/itm/157217521409?_skw=Emboar+98+White+Flare+Pokemon+card&var=458709422471&hash=item249ae4ff01:g:fhQAAeSwoGlojcnh,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0171,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,Pokemon White Flare Reverse Holo Pick Your Card SV11 TCG,Ungraded,https://i.ebayimg.com/images/g/mAcAAeSw5bdqmtOT/s-l225.jpg,https://www.ebay.com/itm/158257216277?_skw=Emboar+98+White+Flare+Pokemon+card&var=459388628496&hash=item24d8dd7b15:g:mAcAAeSw5bdqmtOT,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0172,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,"Pokemon White Flare - Pick your card - Holo, Reverse Holo, Common, Uncommon",Ungraded,https://i.ebayimg.com/images/g/UOQAAeSwPDtoqkcG/s-l225.jpg,https://www.ebay.com/itm/205688006094?_skw=Emboar+98+White+Flare+Pokemon+card&var=506439103831&hash=item2fe3f5e5ce:g:UOQAAeSwPDtoqkcG,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0174,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,Pokemon TCG White Flare Emboar 98/086 Illustration Rare Japanese,Ungraded,https://i.ebayimg.com/images/g/nPsAAeSwmxdqINvw/s-l225.jpg,https://www.ebay.com/itm/398024525891?_skw=Emboar+98+White+Flare+Pokemon+card&hash=item5cac1c4843:g:nPsAAeSwmxdqINvw&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGa6tQn8QOzRsF5lUZvVJmtuKQnhrFyHReaIEOwezTLL%2F8SzydKNtDogfXyPcpL%2BUGPSH2XiCs4TWqR1gOn2WLMiGv6hD5ODdWXAjYZ0nXjERLQA5W4sbPikFsvFaFRQckLJh45vpkpjhvkmF43Q927UToDXFB%2B%2FtVgxUZ6%2FoP%2FelbZLOhZDjmS63UXVwvXLGzExFy01%2FiOsFr%2BSgUp3MBUGRzOO2Q3yKTxGNLQW0vaZekYxWVGAndEMqb3oGXG3%2BWjSyXjgoUpjt4WeSwRHJAsZxWd7o9J1%2BU271SqeD8r4JuzUtDKmBocaNPTNnt7OMlM%3D,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0178,24f40ecd-605f-4d62-b748-afed33706583,Emboar,White Flare,98,illustration_rare,POKEMON WHITE FLARE EMBOAR 013/086 RARE HOLO NM,Ungraded,https://i.ebayimg.com/images/g/GewAAeSwzbZqljU-/s-l225.jpg,https://www.ebay.com/itm/117389157304?_skw=Emboar+98+White+Flare+Pokemon+card&hash=item1b54f063b8:g:GewAAeSwzbZqljU-,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0196,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Grubbin 18/162 Temporal Forces Common Near Mint Pokemon,Ungraded,https://i.ebayimg.com/images/g/AwEAAeSwPLRqo~2D/s-l225.jpg,https://www.ebay.com/itm/128073950194?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item1dd1cd63f2:g:AwEAAeSwPLRqo~2D,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0198,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Grubbin Reverse Holo 18/162 Temporal Forces Pokemon Card NM Art Kagemaru Himeno,Ungraded,https://i.ebayimg.com/images/g/wk0AAeSwcJ1qkxjN/s-l225.jpg,https://www.ebay.com/itm/188858377680?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item2bf8d625d0:g:wk0AAeSwcJ1qkxjN,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0199,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Grubbin | #18 | TEF | Pokemon | Regular | LP,Ungraded,https://i.ebayimg.com/images/g/JY0AAeSw6JVqa00o/s-l225.jpg,https://www.ebay.com/itm/117071817418?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item1b42062aca:g:JY0AAeSw6JVqa00o,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0200,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Pokémon TCG Reverse Holo Grubbin 18/162,Ungraded,https://i.ebayimg.com/images/g/NcoAAeSw-Bhp4SFP/s-l225.jpg,https://www.ebay.com/itm/127813827101?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item1dc24c3a1d:g:NcoAAeSw-Bhp4SFP,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0201,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Pokemon TCG * SV Temporal Force * 18/162 Grubbin REVERSE HOLO Common  ,Ungraded,https://i.ebayimg.com/images/g/Eq0AAeSwvqRp0Fk~/s-l225.jpg,https://www.ebay.com/itm/257441708476?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item3bf0b8b9bc:g:Eq0AAeSwvqRp0Fk~,DIFFICULT_VARIANT,PENDING_SECOND_REVIEW
D2-0202,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Grubbin Temporal Forces 018/162 Common PokéMon — English Near Mint,Ungraded,https://i.ebayimg.com/images/g/8voAAeSwy-ZqkWBc/s-l225.jpg,https://www.ebay.com/itm/128048865519?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item1dd04ea0ef:g:8voAAeSwy-ZqkWBc,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0208,2a67a99c-dbba-4c41-846c-39ed4659c916,Grubbin,Temporal Forces,18,common,Grubbin 18/162 Common | Temporal Forces | Pokemon Card,Ungraded,https://i.ebayimg.com/images/g/CvAAAOSwvTtmFm3I/s-l225.jpg,https://www.ebay.com/itm/226085546612?_skw=Grubbin+18+Temporal+Forces+Pokemon+card&hash=item34a3bfaa74:g:CvAAAOSwvTtmFm3I&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGaioaBCaVydD9yE%2BcjOrtJKqiYbzoSEVmdBegM8oVKK7VNCcdgI5ubbS2J9iV%2FEPntO9E8gCPoriaV4%2Bx7TRXhZG0DDi%2Fod13FD0Zc58uj1NFMEnIzV5Skg%2F4hhjaDVgsdaHsTOCkWTpD9tQ5q23GM3eC0SMQf9Ljr0TmOTHYMo1G73IEFgod5uD1zXi3BiQ9cNbD2GhPz8qlqR712PhPGHyy2HSDQTZVBtKQJsoe9ejpK7QHlJeCMCD4fz6wCvz8MUJCxCNAcA9pLDNoPA4aedHFpf2MlYOgniIwHIQNA4K5YmA4585HBv71mEIfJSXqY%3D,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0211,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Dhelmise 18/132  Pokemon ME: Mega Evolution ,Ungraded,https://i.ebayimg.com/images/g/Kn0AAeSwpZRplRU-/s-l225.jpg,https://www.ebay.com/itm/127690736066?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item1dbaf601c2:g:Kn0AAeSwpZRplRU-,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0213,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Pokemon Dhelmise (18/189) Mega Evolution NM,Ungraded,https://i.ebayimg.com/images/g/C90AAeSwVplo565U/s-l225.jpg,https://www.ebay.com/itm/146883924749?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item2232f6d30d:g:C90AAeSwVplo565U,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0216,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Dhelmise Mega Evolution 018/132 Common PokéMon — English Near Mint,Ungraded,https://i.ebayimg.com/images/g/TV4AAeSwzbZqlqnP/s-l225.jpg,https://www.ebay.com/itm/128055266597?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item1dd0b04d25:g:TV4AAeSwzbZqlqnP,MATCHER_HUMAN_DISAGREEMENT,PENDING_SECOND_REVIEW
D2-0220,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Mega Evolution - Pick Your Card - Pokemon TCG,Ungraded,https://i.ebayimg.com/images/g/HSwAAeSwcIBp3xfk/s-l225.jpg,https://www.ebay.com/itm/127811005132?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item1dc2212acc:g:HSwAAeSwcIBp3xfk,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0223,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Pokemon Cards Mega Evolution,Ungraded,https://i.ebayimg.com/images/g/LbYAAeSwWO9pZFbT/s-l225.jpg,https://www.ebay.com/itm/147087184650?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item223f14530a:g:LbYAAeSwWO9pZFbT,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0225,2bf67447-75e1-4e97-ac08-c7f3e7f2c88c,Dhelmise,Mega Evolution,18,common,Mega Evolutions Singles ME1: Commons & Uncommons – Pick Your Card,Ungraded,https://i.ebayimg.com/images/g/-SQAAeSwS~JpGnGd/s-l225.jpg,https://www.ebay.com/itm/167934819382?_skw=Dhelmise+18+Mega+Evolution+Pokemon+card&hash=item2719b1fc36:g:-SQAAeSwS~JpGnGd,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
D2-0238,2c445258-b198-43de-b710-0921ebe3f0ab,Pikachu ex,Ascended Heroes,277,special_illustration_rare,Ascended Heroes Pikachu Combo: Pikachu ex 277/217 and 276/217 Pikachu EX,Ungraded,https://i.ebayimg.com/images/g/wPkAAeSwAbNqMELx/s-l225.jpg,https://www.ebay.com/itm/137419208811?_skw=Pikachu+ex+277+Ascended+Heroes+Pokemon+card&hash=item1ffed2b86b:g:wPkAAeSwAbNqMELx,HUMAN_AMBIGUOUS,PENDING_SECOND_REVIEW
